id,prova,área,tema,enunciado,a,b,c,d,gabarito,respostacerta,referência,comentários,imagem,incluir_na_prova
72b23a18-b42b-4255-b4bf-e3ad8cfc26a2,TEOT 2025,Ciência Básica,Marcha Normal e Patológica,"Na paralisia do músculo gastrocnêmio-solear, em função da fraqueza, observamos que",a tíbia posterioriza e o fêmur longo está fraco.,a tíbia posterioriza e o fêmur longo estão fracos.,a tíbia posterioriza está forte e o fêmur longo está fraco.,a tíbia posterioriza está fraco e o fêmur longo está forte.,A,a tíbia posterioriza e o fêmur longo está fraco.,TACHDIJAN'S,"O gabarito correto é, de fato, a letra A. O complexo gastrocnêmio-solear é o principal responsável pela flexão plantar. Durante a fase de apoio da marcha, esse grupo muscular controla o avanço da tíbia sobre o pé fixo ao solo. Na fase de balanço, auxilia na propulsão. Com a paralisia desse grupo, a tíbia não encontra resistência à sua anteriorização durante a fase de apoio da marcha.  A insuficiência do gastrocnêmio leva à uma flexão excessiva do joelho durante a fase de apoio e uma dorsiflexão excessiva do tornozelo.  As demais alternativas estão incorretas, pois descrevem incorretamente a relação entre a força/fraqueza da tíbia e do fêmur na presença de paralisia do gastrocnêmio-solear.
",,False
f71b4a3a-8d8a-4b18-8e25-b343efba097a,BANCO PRÓPRIO,Ortopedia Pediátrica,Mão torta radial e ulnar,"Na mão torta radial, é uma contra-indicação à cirurgia de centralização",a sinostose umeroulnar.,o polegar hipoplásico.,a síndrome VACTERL.,a deficiência radial tipo 4.,A,a sinostose umeroulnar.,TACHDIJAN'S,"Gabarito: A. A sinostose radioumeral é uma contraindicação absoluta para a cirurgia de centralização do carpo na mão torta radial. A centralização do carpo envolve a ressecção do carpo e o reposicionamento da mão sobre a ulna distal. A sinostose radioumeral impede a rotação necessária para obter uma boa função da mão após a centralização. As outras alternativas não são contraindicações à cirurgia de centralização. O polegar hipoplásico pode ser tratado com pollicização concomitante. A síndrome VACTERL é uma associação de anomalias congênitas que não afeta a cirurgia de centralização. A deficiência radial tipo 4 é uma indicação para centralização do carpo.
",,False
6002dcdc-fac8-4a02-83f5-9bce50d5cae8,TEOT 2023,Cirurgia do Quadril,Fraturas do anel pélvico,"Na fratura do sacro localizada na zona 2 de DENIS, a fixação com parafuso percutâneo iliossacral no corpo de S1 está associada a risco de lesão da raiz",L4.,L5.,S1.,S2.,B,L5.,CAMPBELL'S,"Gabarito correto: **B**.  A questão aborda um ponto crucial na fixação percutânea de fraturas sacrais.  Na zona 2 de Denis, a trajetória ideal do parafuso iliossacral, quando inserido no corpo de S1, passa próximo à raiz de L5, colocando-a em risco de lesão.  Embora a fratura esteja localizada em S1, a anatomia da região e a angulação necessária para a fixação percutânea direcionam o parafuso para uma trajetória que se aproxima da raiz de L5. As demais raízes (L4, S1 e S2) não se encontram na rota de risco durante esse procedimento específico.  Portanto, o cirurgião deve estar ciente dessa proximidade e utilizar técnicas de imagem, como fluoroscopia, para minimizar o risco de lesão neurológica durante a inserção do parafuso.
",,False
bab2388d-51ee-496b-9718-6d31097a47e3,TARO 2023,Cirurgia do Quadril,Osteonecrose da cabeça femoral,"No tratamento cirúrgico da osteonecrose da cabeça femoral, a imagem a seguir corresponde à técnica de","light bulb, utilizada nos casos de osteonecrose tipo I e II de FICAT.","light bulb, utilizada nos casos de osteonecrose tipo Ilb e III de FICAT.","trapdoor, utilizada nos casos de osteonecrose tipo I e II de FICAT.","trapdoor, utilizada nos casos de osteonecrose tipo Ilb e III de FICAT.",C,"trapdoor, utilizada nos casos de osteonecrose tipo I e II de FICAT.",CAMPBELL'S,"A imagem da referência mostra as técnicas ""trapdoor"" (A) e ""light bulb"" (B) para descompressão e enxertia da cabeça femoral. A imagem da questão corresponde à técnica ""trapdoor"". O procedimento é indicado para osteonecrose em estágio I ou II de Ficat.",https://i.imgur.com/dKikSIH.jpeg,False
71357202-a11c-421b-8074-35a74c5a6eef,TARO 2024,Cirurgia da Mão,Síndrome compartimental,"Na fratura dos ossos do antebraço, a síndrome compartimental",ocorre em 10% dos casos.,é mais comum no sexo feminino.,exige descompressão de todos os compartimentos do antebraço.,exige descompressão tanto do túnel do carpo como do lacertus fibrosus.,C,exige descompressão de todos os compartimentos do antebraço.,ROCKWOOD'S,"O gabarito correto é a letra C. A síndrome compartimental no antebraço, apesar de rara em fraturas fechadas (usualmente <5%, podendo chegar a 10% em fraturas expostas de alta energia), exige a descompressão de todos os compartimentos.  Lembrar que no antebraço temos quatro compartimentos: volar superficial, volar profundo, dorsal superficial e dorsal profundo, e a síndrome compartimental usualmente afeta todos eles.  Embora o túnel do carpo e o lacertus fibrosus sejam estruturas importantes no antebraço, a descompressão deles não trata a síndrome compartimental.  A síndrome compartimental é o aumento da pressão dentro de um compartimento fascial fechado,  comprometendo a perfusão tecidual e levando à isquemia muscular e nervosa.  A descompressão visa liberar a fáscia e restaurar a perfusão.  Não há diferença significativa na incidência entre os sexos.
",,False
12896bd7-879e-4e16-a798-f35dcf1dadb3,TEOT 2022,Cirurgia do Quadril,Osteonecrose da cabeça femoral,"No diagnóstico diferencial da osteonecrose da cabeça femoral, a característica da osteoporose transitória na ressonância magnética é",a perda da densidade óssea.,o amolecimento da cartilagem subcondral.,a proliferação das células mieloproliferativas.,o edema medular se estendendo para região intertrocantérica.,D,o edema medular se estendendo para região intertrocantérica.,CAMPBELL'S,"Gabarito correto: D. A questão aborda o diagnóstico diferencial da osteonecrose da cabeça femoral com a osteoporose transitória do quadril.  A principal característica da osteoporose transitória na ressonância magnética é o edema medular extenso, frequentemente atingindo a região intertrocantérica.  Na osteonecrose, o edema também está presente, mas tipicamente confinado à cabeça femoral e colo femoral, raramente ultrapassando a região intertrocantérica.  A perda de densidade óssea (A) pode ocorrer em ambas as condições, não sendo um fator distintivo. O amolecimento da cartilagem (B) é mais característico da necrose, enquanto a proliferação de células mieloproliferativas (C) não é um achado comum em nenhuma das duas patologias.
",,False
6829157a-471a-4bb9-a8fb-cda800c8fb60,TEOT 2022,Cirurgia do Quadril,Fraturas do anel pélvico,"Na lesão sacroilíaca, o parâmetro ósseo de segurança para passagem do parafuso sacral, visualizado na radioscopia, é a região",da densidade cortical do ilíaco.,posterior ao promontório sacral.,anterior à cortical posterior de S1.,da área do disco residual de S1 e S2.,C,anterior à cortical posterior de S1.,ROCKWOOD'S,"Gabarito: C. A alternativa correta é, de fato, a ""C"".  A segurança na colocação de parafusos sacrais em lesões do anel pélvico, incluindo as fraturas sacroilíacas, depende crucialmente de respeitar a cortical posterior do sacro (S1).  A  visualização fluoroscópica  permite identificar essa cortical e direcionar o parafuso de forma que ele fique anterior a ela,  evitando a penetração no canal sacral e, consequentemente, lesão neurológica.  As demais alternativas representam zonas de risco.  A densidade cortical do ilíaco não é um parâmetro confiável para a colocação do parafuso sacral.  A região posterior ao promontório também é perigosa, propiciando  penetração  no canal.  Finalmente, a área do disco residual entre S1 e S2 não oferece a resistência óssea necessária para a fixação adequada e segura do parafuso.
",,False
6a6e5893-84e6-4a2e-88d8-158a2b3ec941,TARO 2024,Cirurgia do Quadril,Biomecânica do Quadril,"Na biomecânica do quadril normal, a força realizada pelos abdutores deve ser aproximadamente","1,5 vez o peso corporal e a carga sobre a cabeça femoral na elevação da perna estendida é similar à carga na fase de apoio da marcha.","2,5 vezes o peso corporal e a carga sobre a cabeça femoral na elevação da perna estendida é similar à carga na fase de apoio da marcha.","1,5 vez o peso corporal e a carga sobre a cabeça femoral na elevação da perna estendida é aproximadamente 50% da carga na fase de apoio da marcha.","2,5 vezes o peso corporal e a carga sobre a cabeça femoral na elevação da perna estendida é aproximadamente 50% da carga na fase de apoio da marcha.",B,"2,5 vezes o peso corporal e a carga sobre a cabeça femoral na elevação da perna estendida é similar à carga na fase de apoio da marcha.",CAMPBELL'S,"O gabarito B está correto. A força gerada pelos abdutores do quadril (principalmente o glúteo médio) para manter o nível da pelve durante a fase de apoio unipodal é de aproximadamente 2,5 vezes o peso corporal.  Lembrem-se da relação biomecânica: quanto maior o braço de momento da força peso em relação ao centro da cabeça femoral, maior a força necessária dos abdutores para neutralizar esse momento e evitar a queda da pelve.  A elevação da perna estendida gera uma carga na cabeça femoral similar à carga na fase de apoio da marcha, pois ambas as situações exigem  ativação significativa dos abdutores para manter a estabilidade pélvica. As alternativas C e D estão incorretas por subestimarem a força dos abdutores, enquanto a alternativa A subestima a força, mas acerta a carga na cabeça femoral.
",,False
ad4568c7-8af8-4fe3-8b46-36c80a39d9e5,TARO 2015,Ortopedia Pediátrica,Síndrome compartimental,"Na síndrome compartimental da criança, o sintoma mais relevante para o diagnóstico é a",dor.,agitação.,parestesia.,ausência de pulso.,B,agitação.,ROCKWOOD'S PED,"Os três ""As"" podem ser mais úteis no diagnóstico: Ansiedade, agitação e aumento da necessidade de analgesia.",,False
d101a084-304e-47c1-9da0-16354984cf10,TEOT 2025,Ciência Básica,Exame Físico da Coluna,"Na avaliação do paciente com lombalgia, a dor que piora ao sentar e melhora ao levantar sugere dor",discal.,facetária.,radiculopática.,neurogênica.,A,discal.,FALLOPA,"Gabarito: A. A dor discal classicamente piora com a flexão da coluna (e o sentar aumenta a carga no disco intervertebral) e melhora com a extensão.  A dor facetária, por outro lado, piora com a extensão e melhora com a flexão.  A dor radiculopática e neurogênica são termos mais amplos e não apresentam essa relação específica com a postura sentada ou em pé, podendo ser exacerbadas por diversos movimentos ou posições que tensionem a raiz nervosa afetada.  Vale lembrar que a apresentação clínica da dor lombar pode variar e nem sempre se encaixa perfeitamente nesses padrões.
",,False
